market,total_startups,successful,success_rate,avg_funding,median_funding,avg_rounds,success_rate_pct
Internet Of Things,72,72,1.0,2821220.454861111,858812.5,1.8472222222222223,100.0
Bitcoin,54,54,1.0,3270747.3935185187,1187500.0,1.537037037037037,100.0
Consumers,51,51,1.0,3488945.725490196,800000.0,1.4509803921568627,100.0
Finance Technology,64,64,1.0,4834996.2109375,1822979.0,1.71875,100.0
Pharmaceuticals,81,81,1.0,7073896.040123457,4000000.0,1.4444444444444444,100.0
Digital Media,103,103,1.0,3147696.2621359224,757591.0,1.6504854368932038,100.0
Restaurants,68,68,1.0,3185732.6286764704,789272.5,1.8088235294117647,100.0
Marketing Automation,52,52,1.0,6265155.043269231,4956907.0,2.0961538461538463,100.0
Big Data,151,151,1.0,4880293.8311258275,2250000.0,1.900662251655629,100.0
Human Resources,55,55,1.0,4275606.781818182,1568000.0,1.8363636363636364,100.0
Health Care Information Technology,54,54,1.0,4011539.2592592593,1408733.5,1.8333333333333333,100.0
Medical,260,258,0.9923076923076923,3266126.3701923075,1245092.0,1.3653846153846154,99.23
Technology,254,252,0.9921259842519685,6839780.07972441,3134000.0,1.9133858267716535,99.21
Consumer Electronics,110,109,0.990909090909091,3575038.465909091,1100000.0,1.3909090909090909,99.09
Information Technology,92,91,0.9891304347826086,4180555.8179347827,1750000.0,1.5434782608695652,98.91
Transportation,162,160,0.9876543209876543,4712397.220679012,2500000.0,1.5061728395061729,98.77
Services,80,79,0.9875,4848094.890625,1999998.0,1.5,98.75
Wireless,76,75,0.9868421052631579,12401311.210526315,17131025.75,1.9736842105263157,98.68
Telecommunications,68,67,0.9852941176470589,8243173.088235294,7314500.0,1.4558823529411764,98.53
Brand Marketing,66,65,0.9848484848484849,3957348.4507575757,930405.0,1.9090909090909092,98.48
Mobile Payments,64,63,0.984375,5056254.94140625,1501068.0,1.734375,98.44
Local Businesses,63,62,0.9841269841269841,2933226.5634920634,700094.0,1.3968253968253967,98.41
Financial Services,114,112,0.9824561403508771,4732130.094298245,2000000.0,1.4473684210526316,98.25
Real Estate,394,387,0.9822335025380711,3353096.2081218273,1200000.0,1.2766497461928934,98.22
Manufacturing,744,730,0.9811827956989247,5678714.752016129,3292720.0,1.4220430107526882,98.12
Unknown,3960,3882,0.9803030303030303,1759063.9023358587,412649.5,1.1148989898989898,98.03
Health And Wellness,920,900,0.9782608695652174,4565344.957336957,1788497.5,1.5271739130434783,97.83
Education,863,843,0.9768250289687138,3365803.729432213,1000000.0,1.5214368482039398,97.68
Apps,252,246,0.9761904761904762,1986144.0069444445,600000.0,1.3888888888888888,97.62
Media,117,114,0.9743589743589743,3374099.0085470085,1748833.0,1.606837606837607,97.44
Design,155,151,0.9741935483870968,3024367.7338709678,865000.0,1.3806451612903226,97.42
Analytics,617,601,0.9740680713128039,5612856.195299838,2999000.0,1.847649918962723,97.41
Saas,265,258,0.9735849056603774,3620681.8,1200000.0,1.7433962264150944,97.36
Entertainment,226,220,0.9734513274336283,3109717.6924778763,1000000.0,1.3716814159292035,97.35
Collaboration,72,70,0.9722222222222222,5476826.121527778,3260640.5,2.1666666666666665,97.22
Retail,108,105,0.9722222222222222,3892116.046296296,1100000.0,1.4814814814814814,97.22
Nonprofits,138,134,0.9710144927536232,2987480.4039855073,1000000.0,1.4420289855072463,97.1
Hardware,66,64,0.9696969696969697,5916749.962121212,2550000.0,1.9242424242424243,96.97
Crowdsourcing,66,64,0.9696969696969697,3153614.765151515,1000000.0,1.621212121212121,96.97
Enterprises,98,95,0.9693877551020408,5133443.895408163,2420000.0,1.7653061224489797,96.94
Hospitality,464,449,0.9676724137931034,3417617.5748922415,1246234.0,1.3125,96.77
Internet,245,237,0.9673469387755103,3760931.941836735,1200000.0,1.5183673469387755,96.73
Fashion,395,382,0.9670886075949368,3976370.8974683546,1600000.0,1.4075949367088607,96.71
Medical Devices,114,110,0.9649122807017544,7063525.940789473,4225000.0,1.7280701754385965,96.49
Storage,56,54,0.9642857142857143,8540272.763392856,7999996.0,1.8571428571428572,96.43
Biotechnology,3688,3549,0.9623101952277657,7926016.517489154,5500000.0,1.878524945770065,96.23
Photo Sharing,53,51,0.9622641509433962,2024054.9952830188,1000000.0,1.6037735849056605,96.23
Payments,79,76,0.9620253164556962,7853577.955696203,5125000.0,1.860759493670886,96.2
Enterprise Software,1280,1231,0.96171875,6762711.2412109375,4390000.0,1.83125,96.17
Social Media Marketing,50,48,0.96,3626448.555,1000000.0,1.8,96.0
Business Services,74,71,0.9594594594594594,5641632.925675675,2800000.0,1.5405405405405406,95.95
Recruiting,73,70,0.958904109589041,2938162.4006849313,357125.0,1.63013698630137,95.89
Content,71,68,0.9577464788732394,4371699.334507043,1500000.0,1.8591549295774648,95.77
Health Care,1207,1156,0.9577464788732394,8340757.307995029,6484986.5,2.0455675227837613,95.77
Finance,867,830,0.9573241061130334,6000392.496251442,3500000.0,1.6528258362168398,95.73
Cloud Computing,140,134,0.9571428571428572,4960764.791071429,1705280.0,1.8142857142857143,95.71
Mobile Commerce,69,66,0.9565217391304348,2647138.1920289854,1000000.0,1.6521739130434783,95.65
Publishing,69,66,0.9565217391304348,4815866.626811594,1800000.0,1.8115942028985508,95.65
Automotive,180,172,0.9555555555555556,4697881.647222222,2000000.0,1.5166666666666666,95.56
Public Transportation,110,105,0.9545454545454546,6824041.9363636365,4645000.0,1.6181818181818182,95.45
Photography,241,230,0.9543568464730291,3516184.847510373,1183643.0,1.5684647302904564,95.44
Online Shopping,65,62,0.9538461538461539,5858943.234615385,2100000.0,1.6923076923076923,95.38
Startups,145,138,0.9517241379310345,1974758.3310344827,634533.0,1.4620689655172414,95.17
E-Commerce,1805,1716,0.9506925207756233,4136531.028531856,1450000.0,1.5617728531855957,95.07
