name,market,status,is_success,country_code,founded_year,funding_rounds,funding_total_usd,seed,venture,round_a,round_b,round_c
#waywire,News,acquired,1,USA,2012,1,1750000.0,62500.0,0.0,0.0,0.0,0.0
&TV Communications,Games,operating,1,USA,2010,2,4000000.0,0.0,4000000.0,0.0,0.0,0.0
'Rock' Your Paper,Publishing,operating,1,EST,2012,1,40000.0,40000.0,0.0,0.0,0.0,0.0
(In)Touch Network,Electronics,operating,1,GBR,2011,1,1500000.0,62500.0,0.0,0.0,0.0,0.0
-R- Ranch and Mine,Tourism,operating,1,USA,2014,2,60000.0,0.0,0.0,0.0,0.0,0.0
.Club Domains,Software,operating,1,USA,2011,1,7000000.0,0.0,7000000.0,0.0,7000000.0,0.0
.Fox Networks,Advertising,closed,0,ARG,2010,1,4912393.0,0.0,0.0,0.0,0.0,0.0
0-6.com,Curated Web,operating,1,Unknown,2007,1,2000000.0,0.0,2000000.0,2000000.0,0.0,0.0
004 Technologies,Software,operating,1,USA,2010,1,2200000.0,0.0,0.0,0.0,0.0,0.0
01Games Technology,Games,operating,1,HKG,2010,1,41250.0,41250.0,0.0,0.0,0.0,0.0
"1,2,3 Listo",E-Commerce,operating,1,CHL,2012,1,40000.0,40000.0,0.0,0.0,0.0,0.0
1-4 All,Software,operating,1,USA,2010,1,2200000.0,0.0,0.0,0.0,0.0,0.0
1-800-DENTIST,Health And Wellness,operating,1,USA,2001,1,1788497.5,0.0,0.0,0.0,0.0,0.0
1-800-DOCTORS,Health And Wellness,operating,1,USA,2001,1,1750000.0,0.0,0.0,0.0,0.0,0.0
1.618 Technology,Real Estate,operating,1,USA,2013,1,1200000.0,0.0,0.0,0.0,0.0,0.0
10 Minutes With,Education,operating,1,GBR,2013,2,4400000.0,62500.0,4000000.0,4000000.0,0.0,0.0
10-20 Media,E-Commerce,operating,1,USA,2001,4,2050000.0,0.0,0.0,0.0,0.0,0.0
1000 Corks,Search,operating,1,USA,2008,1,40000.0,40000.0,0.0,0.0,0.0,0.0
1000 Markets,Marketplaces,acquired,1,Unknown,2009,1,500000.0,62500.0,0.0,0.0,0.0,0.0
1000jobboersen.de,Curated Web,operating,1,DEU,2010,1,1000000.0,0.0,0.0,0.0,0.0,0.0
1000memories,Curated Web,acquired,1,USA,2010,2,2535000.0,15000.0,2520000.0,2520000.0,0.0,0.0
1000museums.com,Curated Web,operating,1,USA,2008,4,4962651.0,0.0,3814772.0,0.0,0.0,0.0
1001 Menus,Restaurants,operating,1,FRA,2010,4,4059079.0,62500.0,3536910.0,3536910.0,0.0,0.0
1006.tv,Media,operating,1,CHN,2009,3,10000000.0,0.0,10000000.0,0.0,10000000.0,0.0
100du.tv,Hospitality,operating,1,Unknown,2010,2,3000000.0,0.0,3000000.0,3000000.0,0.0,0.0
100e.com,Education,operating,1,CHN,2010,2,4500000.0,0.0,4500000.0,0.0,0.0,0.0
100health,Health Care Information Technology,operating,1,USA,2014,1,420000.0,62500.0,0.0,0.0,0.0,0.0
100Plus,Analytics,acquired,1,USA,2011,2,1250000.0,62500.0,500000.0,0.0,0.0,0.0
1010data,Software,operating,1,USA,2001,1,17131025.75,0.0,12500000.0,0.0,0.0,0.0
10°North,Fashion,operating,1,CAN,2014,1,1600000.0,0.0,0.0,0.0,0.0,0.0
10BestThings,Curated Web,closed,0,USA,2009,1,50000.0,50000.0,0.0,0.0,0.0,0.0
10sec,Mobile Commerce,operating,1,Unknown,2013,2,1600000.0,62500.0,0.0,0.0,0.0,0.0
10seconds Software,Mobility,operating,1,AUS,2009,1,100000.0,0.0,0.0,0.0,0.0,0.0
10Six,Electronics,operating,1,USA,2010,1,1486753.0,0.0,0.0,0.0,0.0,0.0
10X Technologies,Biotechnology,operating,1,USA,2012,1,3000000.0,0.0,0.0,0.0,0.0,0.0
10X10 Room,Software,operating,1,USA,2010,1,77500.0,0.0,0.0,0.0,0.0,0.0
115 network disks,Education,operating,1,Unknown,2010,1,1000000.0,0.0,0.0,0.0,0.0,0.0
117go,Social Travel,operating,1,CHN,2011,1,17131025.75,0.0,12500000.0,0.0,20000000.0,0.0
11i Solutions,Enterprise Software,operating,1,USA,2010,1,1800000.0,0.0,1800000.0,0.0,0.0,0.0
12 Labs,Personal Health,operating,1,Unknown,2010,1,300000.0,0.0,0.0,0.0,0.0,0.0
12 Star Survival,Sports,operating,1,Unknown,2013,1,600000.0,0.0,0.0,0.0,0.0,0.0
120 Sports,Sports,operating,1,USA,2013,1,600000.0,0.0,0.0,0.0,0.0,0.0
121 Rentals,Real Estate,operating,1,USA,2011,1,1200000.0,0.0,0.0,0.0,0.0,0.0
121cast,Mobile,operating,1,AUS,2012,2,270000.0,62500.0,0.0,0.0,0.0,0.0
121nexus,Pharmaceuticals,operating,1,USA,2011,4,794000.0,62500.0,0.0,0.0,0.0,0.0
1234ENTER,Advertising,operating,1,Unknown,2012,2,650267.0,62500.0,150267.0,0.0,0.0,0.0
123ContactForm,Saas,operating,1,ROM,2008,1,1200000.0,0.0,0.0,0.0,0.0,0.0
1248,Software,operating,1,GBR,2013,1,378812.0,62500.0,0.0,0.0,0.0,0.0
12Bis,Unknown,operating,1,FRA,2008,1,130636.0,62500.0,0.0,0.0,0.0,0.0
12Return,Software,operating,1,NLD,2010,1,619494.0,0.0,0.0,0.0,0.0,0.0
12Society,E-Commerce,acquired,1,USA,2012,1,1450000.0,0.0,0.0,0.0,0.0,0.0
1366 Technologies,Manufacturing,operating,1,USA,2007,4,17131025.75,0.0,12500000.0,12400000.0,28400000.0,17500000.0
139shop,E-Commerce,operating,1,CHN,2010,1,1450000.0,0.0,0.0,0.0,0.0,0.0
13th Lab,Mobile,operating,1,SWE,2010,1,700000.0,62500.0,0.0,0.0,0.0,0.0
140 Proof,Advertising,operating,1,USA,2010,2,5500000.0,0.0,5500000.0,3000000.0,2500000.0,0.0
140Fire,Entertainment,operating,1,USA,2010,1,500000.0,62500.0,0.0,0.0,0.0,0.0
159.com,Software,operating,1,CHN,2010,2,6204822.0,0.0,6204822.0,4500000.0,1704822.0,0.0
15Five,Software,operating,1,USA,2011,3,3400000.0,62500.0,0.0,0.0,0.0,0.0
15MinutesNOW,Games,operating,1,Unknown,2011,1,200000.0,62500.0,0.0,0.0,0.0,0.0
16 Mile Solutions,Software,operating,1,USA,2006,1,199957.0,0.0,199957.0,0.0,0.0,0.0
169 ST.,Games,operating,1,USA,2009,1,50000.0,0.0,0.0,0.0,0.0,0.0
16Lab Inc.,Unknown,operating,1,Unknown,2013,1,412649.5,0.0,0.0,0.0,0.0,0.0
170 Systems,Software,acquired,1,USA,2001,1,14000000.0,0.0,12500000.0,14000000.0,0.0,0.0
17u.cn,Travel,operating,1,CHN,2004,3,17131025.75,0.0,12500000.0,479014.0,0.0,83961305.0
1871,Designers,operating,1,USA,2010,1,2500000.0,0.0,0.0,0.0,0.0,0.0
19pay,Finance,operating,1,CHN,2005,3,9478511.0,0.0,6230000.0,0.0,6230000.0,0.0
1bib,Curated Web,closed,0,CHN,2006,1,1000000.0,0.0,0.0,0.0,0.0,0.0
1C Company,Software,operating,1,RUS,2001,1,17131025.75,0.0,0.0,0.0,0.0,0.0
1calendar,Education,operating,1,DNK,2009,1,40000.0,0.0,0.0,0.0,0.0,0.0
1Cast,Lifestyle,closed,0,USA,2006,1,1050000.0,0.0,0.0,0.0,0.0,0.0
1CLICK,Chat,operating,1,IND,2012,1,2210000.0,0.0,0.0,0.0,0.0,0.0
1CloudStar,File Sharing,operating,1,SGP,2012,1,535726.0,0.0,0.0,0.0,0.0,0.0
1d4 Pty,Unknown,operating,1,NOR,2010,1,40000.0,40000.0,0.0,0.0,0.0,0.0
1DayLater,Curated Web,operating,1,Unknown,2009,2,43811.0,0.0,0.0,0.0,0.0,0.0
1DayMakeover,E-Commerce,closed,0,USA,2008,1,50000.0,50000.0,0.0,0.0,0.0,0.0
1DocWay,Video Chat,operating,1,USA,2011,1,200000.0,0.0,0.0,0.0,0.0,0.0
1Energy Systems,Software,operating,1,USA,2010,1,1450000.0,0.0,1450000.0,0.0,0.0,0.0
1EQ,Mobile Health,operating,1,Unknown,2013,3,2100000.0,62500.0,0.0,0.0,0.0,0.0
1jiajie,E-Commerce,operating,1,CHN,2010,2,4163132.0,0.0,4163132.0,4163132.0,0.0,0.0
1Lay,Mobile Security,operating,1,Unknown,2013,1,170000.0,62500.0,0.0,0.0,0.0,0.0
1Life Healthcare,Health And Wellness,operating,1,USA,2002,1,17131025.75,0.0,12500000.0,0.0,0.0,0.0
1Mind,Social Media,operating,1,USA,2011,1,500000.0,62500.0,0.0,0.0,0.0,0.0
1o1Media,Photography,operating,1,DEU,2012,1,1183643.0,0.0,0.0,0.0,0.0,0.0
1Rebel,Fitness,operating,1,Unknown,2010,1,2572969.0,0.0,0.0,0.0,0.0,0.0
1Ring,Sales And Marketing,operating,1,Unknown,2009,1,680750.0,0.0,0.0,0.0,0.0,0.0
1RP Media,Unknown,operating,1,USA,2011,1,412649.5,0.0,0.0,0.0,0.0,0.0
1SDK,Predictive Analytics,operating,1,DEU,2013,2,156000.0,62500.0,0.0,0.0,0.0,0.0
